ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Panel Type,Native Resolution (pixels),Total Native Resolution (megapixels),Screen Size (inches),Screen Area (square inches),Model Features,Features Enabled in Default On Mode,Features Enabled in Default Sleep Mode,Signal or Data Interfaces,Power Source,On Mode Power (watts),Maximum On Mode Power Limit for Signage Certification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power Limit for Signage Certification (watts),Off Mode Power (watts),On Mode Power at 12 Lux at 115 Volts (W),On Mode Power at 300 Lux (watts),Monitor Total Energy Consumption at 115 Volts (kWh/yr),Maximum Total Energy Consumption Limit for Monitor Certification (kWh/yr),Maximum Luminance (candelas per square meter),Enhanced-Performance Display?,Color Gamut,Color Spaces Supported,High Dynamic Range (HDR),Display Contrast Ratio  at 0 deg. Horiz. Viewing Angle,Reported Contrast Ratio at -85 Degrees (Left) Horizontal Viewing Angle,Reported Contrast Ratio at +85 Degrees (Right) Horizontal Viewing Angle,USB-C with Power Delivery Supported,Maximum Power Delivery (W),Tiled Display System,Maximum Tiled Configuration,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets Most Efficient 2023 Criteria
2405714,Acer Incorporated,Acer,ASV15-1BP_q,ASV15-1B,",ASV15-1BP,",195133146203;195133163965,Monitor,IPS LCD,3840 x 2160,8.3,15.5,103.3,"Variable Refresh Rate,USB-C,Built-In Speakers","Variable Refresh Rate,Built-In Speakers",None,"HDMI,USB",Ac to dc external power supply,11.76,,0.25,,0.25,,,37.48,52.45,400,Yes,35.3,sRGB,N/A,1000,1,1,No,,No,0,11/30/2021 12:00:00 AM,11/21/2021 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_ASV15-1B_11212022112426I35_7349927,Yes
2350479,Acer Incorporated,Acer,B196L_q,B196L,,,Monitor,TN LCD,1280  x 1024,1.3,19,175.61,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,DVI",Ac to dc internal power supply,10.1,,0.2,,0.1,,,32.4,36.9,250,No,34.4,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/26/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B196L_11272019143317,No
2353649,Acer Incorporated,Acer,B206HQL_v,B206HQL,"V206HQL_v,V206HQL,",195133024846;195133024853;195133109024;195133109314;195133120265;887899109812,Monitor,TN LCD,900 x 1600,1.4,19.5,160.54,None,None,None,"VGA,DVI",Ac to dc internal power supply,10.76,,0.2,,0.14,,,34.13,34.87,200,No,,None,N/A,600,,,No,,,,04/20/2018 12:00:00 AM,01/16/2020 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B206HQL_01142020110624_7242700,No
2350539,Acer Incorporated,Acer,B206WQL_r,B206WQL,"V206WQL_r,V206WQL,",,Monitor,IPS LCD,1440 x 900,1.3,19.4,170.22,"Built-In Speakers,Other,User Adjustable Backlight",Built-In Speakers,None,"VGA,Other,DVI",Ac to dc internal power supply,9.76,,0.21,,0.14,,,31.14,35.96,250,No,,NTSC,N/A,1000,,,No,,,,11/22/2019 12:00:00 AM,11/28/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B206WQL_03312016093420_6860031,No
2350989,Acer Incorporated,Acer,B206WQL ymdh,B206WQL,"V206WQL  bmd,V206WQL,; V206WQL Rbdf,V206WQL,; V206WQL Tbdf,V206WQL,; V206WQL b,V206WQL,; V206WQL bd,V206WQL,; V206WQL bm,V206WQL,",,Monitor,TFT LCD,900 x 1440,1.3,19.5,170.22,None,None,None,"VGA,DVI",Ac to dc internal power supply,10.39,,0.13,,0.09,,,35.04,35.96,250,No,,None,N/A,1000,,,No,,,,11/26/2019 12:00:00 AM,12/06/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B206WQL_12052019145151_6448327,No
2349361,Acer Incorporated,Acer,B226HQL_q,B226HQL,,,Monitor,TN LCD,1920  x 1080,2.1,21.5,198.08,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI,USB",Ac to dc internal power supply,11.8,,0.3,,0.2,,,37.9,42.7,250,No,31.5,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/01/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B226HQL_11012019162453I24_1126158,No
2352412,Acer Incorporated,Acer,B226HQL_v,B226HQL,"V226HQL_v,V226HQL,",193199104175;195133149853,Monitor,TN LCD,1080 x 1920,2.1,21.5,198.08,Built-In Speakers,None,None,"VGA,DVI",Ac to dc internal power supply,12.41,,0.22,,0.09,,,39.3,42.66,250,No,,None,N/A,1000,,,No,,,,12/30/2016 12:00:00 AM,12/31/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B226HQL_12302019134526_8101617,No
2354166,Acer Incorporated,Acer,B226HQL_r,B226HQL,"V226HQL G_r,V226HQL G,; V226HQL W_r,V226HQL W,; V226HQL_r,V226HQL,",,Monitor,IPS LCD,1920 x 1080,2.1,21.5,197.6,"Built-In Speakers,Other,User Adjustable Backlight",Built-In Speakers,None,"VGA,Other,DVI,Display",Ac to dc internal power supply,13.13,,0.24,,0.18,,,41.62,42.65,250,No,33.0,NTSC,N/A,1000,,,No,,,,08/10/2020 12:00:00 AM,12/16/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B226HQL_01272020151152_7912224,No
2349420,Acer Incorporated,Acer,B226WL_q,B226WL,,193199104014,Monitor,TN LCD,1680  x 1050,1.8,22,217.43,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,DVI,Display,USB",Ac to dc internal power supply,11.3,,0.3,,0.2,,,36.6,42.2,250,No,33.1,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/05/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B226WL_11052019142447I32_3606062,No
2346827,Acer Incorporated,Acer,B227Q_q,B227Q,,195133138925,Monitor,IPS LCD,1920  x 1080,2.1,21.5,197.6,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI,USB",Ac to dc internal power supply,10,,0.2,,0.1,,,31.8,42.6,250,No,35.2,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,09/20/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B227Q_09202019112425I56_3606062,No
2348823,Acer Incorporated,Acer,B227Q_v,B227Q,"V227Q_v,V227Q,",193199011671;193199104793;193199104809;193199104816;193199104823;193199104847;193199104854;193199139702;193199591975;193199592507;193199593009;195133138215,Monitor,TFT LCD,1920 x 1080,2.1,21.5,193.1,Built-In Speakers,Built-In Speakers,None,"VGA,Display,HDMI",Ac to dc internal power supply,13.18,,0.19,,0.14,,,41.49,42.56,250,No,,None,N/A,3000,,,No,,,,12/11/2019 12:00:00 AM,10/21/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B227Q_10122019141305_127527,No
2350149,Acer Incorporated,Acer,B246HL_q,B246HL,,,Monitor,TN LCD,1920  x 1080,2.1,24,246.17,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI,USB",Ac to dc internal power supply,11.63,,0.28,,0.19,,,37.3,46.1,250,No,32.8,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/15/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B246HL_11152019142447I32_3606062,No
2352049,Acer Incorporated,Acer,B246HL_v,B246HL,"CB241H_v,CB241H,; V246HL_v,V246HL,",,Monitor,TN LCD,1080 x 1920,2.1,24,246.62,None,None,None,"VGA,DVI,Display,USB",Ac to dc internal power supply,13.17,,0.32,,0.14,,,42.2,46.1,300,No,,sRGB,N/A,1000,,,No,,,,01/20/2013 12:00:00 AM,12/27/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B246HL_12272019104620_6766626,No
2353650,Acer Incorporated,Acer,B246HQL_v,B246HQL,"V246HQL_v,V246HQL,; VE246Q_v,VE246Q,",195133147484,Monitor,TN LCD,1080 x 1920,2.1,23.6,236.92,None,None,None,"VGA,DVI,Display",Ac to dc internal power supply,13.9,,0.23,,0.17,,,43.93,45.25,250,No,,None,N/A,3000,,,No,,,,04/20/2018 12:00:00 AM,01/16/2020 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B246HQL_01142020105457_3756524,No
2349024,Acer Incorporated,Acer,B246WL_q,B246WL,,,Monitor,IPS LCD,1920  x 1200,2.3,24.1,260.34,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"DVI,Display,HDMI,USB",Ac to dc internal power supply,12.6,,0.3,,0.1,,,40.4,53.4,300,Yes,36.8,sRGB,N/A,1000,60,60,No,0,No,0,01/28/2020 12:00:00 AM,10/28/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B246WL_10282019162451I06_3606062,No
2354308,Acer Incorporated,Acer,B246WL_r,B246WL,"V246WL_r,V246WL,",,Monitor,IPS LCD,1920 x 1200,2.3,24.1,260.34,"Built-In Speakers,Other,User Adjustable Backlight",Built-In Speakers,None,"VGA,Other,DVI,Display,USB",Ac to dc internal power supply,12.03,,0.33,,0.22,,,38.77,48.31,300,No,35.3,NTSC,N/A,1000,,,No,,,,11/22/2019 12:00:00 AM,11/28/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B246WL_03112016023531_3731249,No
2351423,Acer Incorporated,Acer,B247W_q,B247W,,,Monitor,IPS LCD,1920 x 1200,2.3,24.1,260.34,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"Display,HDMI,USB",Ac to dc internal power supply,10.8,,0.2,,0.1,,,34.4,52.2,300,Yes,35.3,sRGB,N/A,1000,60,60,No,,No,0,01/28/2020 12:00:00 AM,12/16/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B247W_12172019164136_9161358,Yes
2349347,Acer Incorporated,Acer,V176L_q,V176L,,,Monitor,TN LCD,1280  x 1024,1.3,17,141.6,Variable Refresh Rate,Automatic Brightness Control,None,"VGA,DVI",Ac to dc internal power supply,8.2,,0.3,,0.1,,,26.7,31.1,250,No,33.2,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/01/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V176L_11012019152413I51_3606062,No
2349464,Acer Incorporated,Acer,V196HQL_q,V196HQL,,,Monitor,TN LCD,1366  x 768,1,18.5,146.35,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,HDMI",Ac to dc internal power supply,7.5,,0.2,,0.1,,,24.1,30.9,200,No,33.4,sRGB,N/A,700,,,No,,No,0,01/28/2020 12:00:00 AM,11/05/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V196HQL_11052019162413I42_3606062,No
2356042,Acer Incorporated,Acer,V196HQL Ab,V196HQL,"V196HQL Abi, V196HQL Abd,,",,Monitor,TN LCD,1366 x 768,1,18.5,146.35,Variable Refresh Rate,Variable Refresh Rate,None,"VGA,HDMI",Ac to dc internal power supply,8.95,,0.15,,0.07,,,28.3,30.9,200,No,33.6,sRGB,N/A,600,1,1,No,0,No,0,03/31/2020 12:00:00 AM,03/05/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V196HQL_03092020130715_7860795,No
2361418,Acer Incorporated,Acer,V196HQL b,V196HQL,"V196HQL bi, V196HQL bm,,",,Monitor,TN LCD,1366 x 768,1,18.5,146.35,Variable Refresh Rate,Variable Refresh Rate,None,"VGA,HDMI",Ac to dc internal power supply,8.54,,0.14,,0.08,,,26.96,30.9,250,No,33.6,sRGB,N/A,1000,1,1,No,0,No,0,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V196HQL_06072020153511_3523122,No
2398327,Acer Incorporated,Acer,V196L_q,V196L,,,Monitor,TN LCD,1280 x 1024,1.3,19,175.61,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,DVI",Ac to dc internal power supply,9.5,,0.3,,0.1,,,30.6,36.9,250,No,34.4,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/26/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V196L_11262019112441I55_3606062,No
2347574,Acer Incorporated,Acer,V206HQL b_q,V206HQL,"V206HQL bd_q, V206HQL bm_q, V206HQL bmd_q, V206HQL bmdf_q, V206HQL Ab_q, V206HQL Abd_q, V206HQL Abm_q, V206HQL Abmd_q,,",,Monitor,TN LCD,1600  x 900,1.4,19.5,158.96,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,DVI",Ac to dc internal power supply,9.2,,0.3,,0.2,,,30,34.6,200,No,33.5,sRGB,N/A,600,,,No,0,No,0,01/28/2020 12:00:00 AM,10/03/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V206HQL_1003201911249I06_3606062,No
2348989,Acer Incorporated,Acer,V206HQL Bb_q,V206HQL,"V206HQL Bbd_q, V206HQL Bbi_q, V206HQL Bbmd_q, V206HQL Bbm_q, V206HQL Bbi_q, V206HQL Bbmix _q,,",,Monitor,TN LCD,1366  x 768,1,19.4,158.62,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,HDMI",Ac to dc internal power supply,7.5,,0.2,,0.1,,,24,33,200,No,33.5,sRGB,N/A,600,,,No,0,No,0,01/28/2020 12:00:00 AM,10/24/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V206HQL_10242019112432I45_3606062,No
2349276,Acer Incorporated,Acer,V226HQL_q,V226HQL,"K222HQL_q, KA220HQ_q,K222HQL, KA220HQ,",,Monitor,TN LCD,1920  x 1080,2.1,21.5,198.08,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI",Ac to dc internal power supply,10.7,,0.2,,0.1,,,34.2,42.7,200,No,31.5,sRGB,N/A,600,,,No,0,No,0,01/28/2020 12:00:00 AM,11/01/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada","ES_20101_V226HQL, K222HQL, KA220HQ_11012019112426I05_3606062",No
2356079,Acer Incorporated,Acer,V226HQL Bb,V226HQL,"V226HQL Bbd, V226HQL Bbi, V226HQL Bbmi, V226HQL b, V226HQL bd, V226HQL bi, V226HQL bmi,,",,Monitor,TN LCD,1920 x 1080,2.1,21.5,198.08,"Variable Refresh Rate,Built-In Speakers","Variable Refresh Rate,Built-In Speakers",None,"VGA,HDMI",Ac to dc internal power supply,12.29,,0.18,,0.13,,,38.7,42.7,200,No,32.9,sRGB,N/A,600,,,No,0,No,0,04/01/2020 12:00:00 AM,03/05/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V226HQL_03092020153806_5291309,No
2357039,Acer Incorporated,Acer,V226HQL b,V226HQL,"V226HQL bd, V226HQL bi, V226HQL bmi,,",,Monitor,TN LCD,1920 x 1080,2.1,21.5,198.08,"Variable Refresh Rate,Built-In Speakers","Variable Refresh Rate,Built-In Speakers",None,"VGA,HDMI",Ac to dc internal power supply,12.84,,0.21,,0.15,,,40.6,42.7,250,No,34,sRGB,N/A,1000,1,1,No,0,No,0,03/31/2020 12:00:00 AM,03/20/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V226HQL_03232020152209_1846761,No
2356867,Acer Incorporated,Acer,V226HQL Bb,V226HQL B,"V226HQL Bbd, V226HQL Bbi, V226HQL Bbmi,,",,Monitor,TN LCD,1920 x 1080,2.1,21.5,198.08,"Variable Refresh Rate,Built-In Speakers","Variable Refresh Rate,Built-In Speakers",None,"VGA,HDMI",Ac to dc internal power supply,12.29,,0.18,,0.13,,,38.7,42.7,200,No,32.9,sRGB,N/A,600,1,1,No,0,No,0,03/31/2020 12:00:00 AM,03/17/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V226HQL_03212020133632_4701750,No
2349416,Acer Incorporated,Acer,V226WL_q,V226WL,,193199153654,Monitor,TN LCD,1680  x 1050,1.8,22,217.43,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,DVI,Display",Ac to dc internal power supply,10.8,,0.3,,0.1,,,34.7,42.2,250,No,33.1,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/05/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V226WL_11052019142431I55_3606062,No
2346828,Acer Incorporated,Acer,V227Q_q,V227Q,,195133138925,Monitor,IPS LCD,1920  x 1080,2.1,21.5,197.6,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI",Ac to dc internal power supply,9.7,,0.1,,0.1,,,30.4,42.6,250,No,35.2,sRGB,N/A,500,,,No,,No,0,01/28/2020 12:00:00 AM,09/20/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V227Q_09202019112445I27_3606062,Yes
2397187,Acer Incorporated,Acer,V227Q_a,V227Q,"B22*****,B22*****,; B227Q,B227Q,; CB22*****,CB22*****,; CBA22***** (* = A-Z, 0-9, -, blank),CBA22***** (* = A-Z, 0-9, -, blank),; V22*****,V22*****,",193199104809;193199139702;193199591975;193199592149;193199592507;193199593009,Monitor,VA LCD,1920 x 1080,2.1,21.5,193.11,Built-In Speakers,Built-In Speakers,None,"VGA,Other,Display,HDMI",Ac to dc external power supply,11.08,,0.16,,0.15,,,34.9,42.56,250,No,,None,N/A,3000,,,No,,No,,10/01/2022 12:00:00 AM,09/28/2022 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V227Q_06032022114940_9772961,No
2397907,Acer Incorporated,Acer,V227Q,V227Q_b,,193199104847,Monitor,VA LCD,1920 x 1080,2.1,21.5,196.6,None,None,None,"Display,HDMI",Ac to dc internal power supply,13.06,,0.22,,0.15,,,41.27,42.63,250,No,0.3,None,N/A,1000,,,No,,,,07/11/2022 12:00:00 AM,06/23/2022 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V227Q_b_06242022120237_5470029,No
2349988,Acer Incorporated,Acer,V246HL_q,V246HL,,,Monitor,TN LCD,1920  x 1080,2.1,24,246.17,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI",Ac to dc internal power supply,11.3,,0.2,,0.1,,,35.8,46.1,250,No,32.8,sRGB,N/A,1000,,,No,,No,0,01/20/2020 12:00:00 AM,11/15/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V246HL_11152019142413I03_3606062,No
2345989,Acer Incorporated,Acer,B247Y_v,B247Y,"V247Y_v,V247Y,",193199139719;193199153043;193199153098;193199593016;195133144926;195133146746;195133146760;195133151733;195133166072,Monitor,IPS LCD,1920 x 1080,2.1,23.8,242.18,Built-In Speakers,Built-In Speakers,None,"VGA,Display,HDMI",Ac to dc internal power supply,14.1,,0.7,,0.12,,,44.19,45.73,250,No,,None,N/A,1000,,,No,,,,11/03/2017 12:00:00 AM,09/06/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B247Y_09032019144208_5309106,No
2351221,Acer Incorporated,Acer,B247Y_q,B247Y,,195133151733,Monitor,IPS LCD,1920 x 1080,2.1,23.8,242.18,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI",Ac to dc internal power supply,9.9,,0.1,,0.1,,,30.9,45.7,250,No,33.1,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,12/12/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B247Y_12122019171955_6179183,Yes
2403158,Acer Incorporated,Acer,B247Y_v,B247Y,,195133166072,Monitor,IPS LCD,1920 x 1080,2.1,23.8,242.2,"USB-C,Built-In Speakers",Built-In Speakers,None,"Display,HDMI,USB",Ac to dc internal power supply,14.44,,0.37,,0.29,,,46.38,48.48,250,No,,sRGB,N/A,1000,,,No,,No,,10/30/2022 12:00:00 AM,09/29/2022 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B247Y_09292022102425I00_7349927,No
2353660,Acer Incorporated,Acer,B247Y C_v,B247Y C,,,Monitor,IPS LCD,1080 x 1920,2.1,23.8,242.18,Built-In Speakers,Built-In Speakers,None,"Display,HDMI,USB",Ac to dc external power supply,12.5,,0.28,,0.24,,,39.98,48.48,250,No,,sRGB,N/A,1000,,,Yes,60,,,03/10/2019 12:00:00 AM,01/16/2020 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B247Y C_01102020140910_1730615,No
2353648,Acer Incorporated,Acer,B247YU_v,B247YU,"V247YU_v,V247YU,",,Monitor,IPS LCD,1440 x 2560,3.7,23.8,242.01,Built-In Speakers,Built-In Speakers,None,"Display,HDMI",Ac to dc internal power supply,15.76,,0.28,,0.18,,,49.91,52.17,350,No,,sRGB,N/A,1000,,,No,,,,04/20/2018 12:00:00 AM,01/16/2020 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B247YU_01142020110050_2935296,No
2370330,Acer Incorporated,Acer,B248Y_v,B248Y,,195133093255,Monitor,IPS LCD,1920 x 1080,2.1,23.8,242.18,"USB-C,Built-In Speakers",Built-In Speakers,None,"RJ45,Display,HDMI,USB",Ac to dc internal power supply,14.65,,0.43,,0.28,,,47.39,48.48,250,No,,sRGB,N/A,1000,,,Yes,169,,,11/10/2020 12:00:00 AM,11/26/2020 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B248Y_11242020093249_7013513,No
2361745,Acer Incorporated,Acer,B276HK_q,B276HK,,,Monitor,IPS LCD,3840 x 2160,8.3,27,310.47,"Variable Refresh Rate,Built-In Speakers","Variable Refresh Rate,Built-In Speakers",None,"DVI,Display,HDMI,USB",Ac to dc internal power supply,21.96,,0.16,,0.11,,,68.21,90.3,350,Yes,40.9,sRGB,N/A,1000,60,60,No,0,No,0,07/11/2020 12:00:00 AM,07/13/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B276HK_06162020160106_4010027,No
2359627,Acer Incorporated,Acer,B276HL_q,B276HL,,,Monitor,IPS LCD,1920 x 1080,2.1,27,311.67,"Variable Refresh Rate,Built-In Speakers","Variable Refresh Rate,Built-In Speakers",None,"VGA,Display,HDMI",Ac to dc internal power supply,12.63,,0.17,,0.1,,,39.68,52.1,250,No,33,sRGB,N/A,1000,1,1,No,0,No,0,05/28/2020 12:00:00 AM,05/05/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B276HL_05092020121039_7805862,Yes
2355060,Acer Incorporated,Acer,B276HUL_q,B276HUL,,,Monitor,IPS LCD,2560 x 1440,3.7,27,310.47,"Variable Refresh Rate,USB-C,Built-In Speakers","Variable Refresh Rate,Built-In Speakers",None,"DVI,Display,HDMI,USB",Ac to dc external power supply,18.5,,1.1,,0.2,,,63.03,65.1,350,Yes,34.6,sRGB,N/A,1000,60,60,Yes,45,No,0,01/28/2020 12:00:00 AM,02/20/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B276HUL_02202020125219_1823856,No
2359370,Acer Incorporated,Acer,B276HUL_v,B276HUL,"K272HUL_v,K272HUL,",,Monitor,IPS LCD,1440 x 2560,3.7,27,310.47,Built-In Speakers,Built-In Speakers,None,"DVI,Display,HDMI,USB",Ac to dc internal power supply,19.29,,0.49,,0.36,,,61.92,62.48,350,Yes,34.7,sRGB,N/A,1000,60,60,No,,,,02/15/2012 12:00:00 AM,05/05/2020 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B276HUL_04272020104945_6891595,No
2361983,Acer Incorporated,Acer,B276HUL Cymiippprzx_q,B276HUL,"B276HUL Cwmiidprzx_q,,",,Monitor,IPS LCD,2560 x 1440,3.7,27,310.47,"Variable Refresh Rate,Built-In Speakers","Variable Refresh Rate,Built-In Speakers",None,"Display,HDMI,USB",Ac to dc internal power supply,16.13,,0.34,,0.18,,,51.36,63.9,350,Yes,36.1,sRGB,N/A,1000,60,60,No,0,No,0,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B276HUL_06222020111105_8194838,No
2347163,Acer Incorporated,Acer,B277_q,B277,,,Monitor,IPS LCD,1920  x 1080,2.1,27,311.66,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI,USB",Ac to dc internal power supply,14.8,,0.2,,0.1,,,46.7,52.1,250,No,33,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,09/25/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B277_09252019112446I37_3606062,No
2350549,Acer Incorporated,Acer,B277_v,B277,"V277_v,V277,",191114464007,Monitor,IPS LCD,1080 x 1920,2.1,27,311.67,Built-In Speakers,Built-In Speakers,None,"VGA,Display,USB",Ac to dc internal power supply,16.31,,0.19,,0.14,,,51.08,52.06,250,No,,sRGB,N/A,1000,,,No,,,,11/03/2017 12:00:00 AM,11/28/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B277_11282019091003_408594,No
2351452,Acer Incorporated,Acer,B277_r,B277,"CB272_r,CB272,; V277_r,V277,",193199103499,Monitor,IPS LCD,1920 x 1080,2.1,27,311.67,"Built-In Speakers,Other,User Adjustable Backlight",Built-In Speakers,None,"VGA,Other,Display,HDMI,USB",Ac to dc internal power supply,14.95,,0.23,,0.11,,,47.14,52.06,250,No,32.2,NTSC,N/A,1000,,,No,,,,11/22/2019 12:00:00 AM,11/28/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B277_12182019143751_9871688,No
2362027,Acer Incorporated,Acer,B277K_v,B277K,"V277K_v,V277K,",,Monitor,IPS LCD,2160 x 3840,8.3,27,310.47,Built-In Speakers,Built-In Speakers,None,"Display,HDMI,USB",Ac to dc internal power supply,24.25,,0.33,,0.18,,,76.23,76.83,350,No,,sRGB,N/A,1000,,,No,,,,01/31/2018 12:00:00 AM,06/24/2020 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B277K_06222020152455_2850458,No
2349355,Acer Incorporated,Acer,B277U_q,B277U,,,Monitor,IPS LCD,2560  x 1440,3.7,27.4,329.39,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"Display,HDMI,USB",Ac to dc internal power supply,16.9,,0.3,,0.2,,,53.6,65.8,350,Yes,34.7,sRGB,N/A,1000,60,60,No,,No,0,01/28/2020 12:00:00 AM,11/01/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B277U_11012019162440I00_3606062,No
2353658,Acer Incorporated,Acer,B277U_v,B277U,"V277U_v,V277U,",191114666319;193199139665,Monitor,IPS LCD,1440 x 2560,3.7,27,310.47,Built-In Speakers,Built-In Speakers,None,"Display,HDMI,USB",Ac to dc internal power supply,19.61,,0.35,,0.23,,,62.46,62.48,350,Yes,37.4,sRGB,N/A,1000,85,85,No,,,,01/31/2018 12:00:00 AM,01/16/2020 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B277U_01092020155651_4190637,No
