ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Panel Type,Native Resolution (pixels),Total Native Resolution (megapixels),Screen Size (inches),Screen Area (square inches),Model Features,Features Enabled in Default On Mode,Features Enabled in Default Sleep Mode,Signal or Data Interfaces,Power Source,On Mode Power (watts),Maximum On Mode Power Limit for Signage Certification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power Limit for Signage Certification (watts),Off Mode Power (watts),On Mode Power at 12 Lux at 115 Volts (W),On Mode Power at 300 Lux (watts),Monitor Total Energy Consumption at 115 Volts (kWh/yr),Maximum Total Energy Consumption Limit for Monitor Certification (kWh/yr),Maximum Luminance (candelas per square meter),Enhanced-Performance Display?,Color Gamut,Color Spaces Supported,High Dynamic Range (HDR),Display Contrast Ratio  at 0 deg. Horiz. Viewing Angle,Reported Contrast Ratio at -85 Degrees (Left) Horizontal Viewing Angle,Reported Contrast Ratio at +85 Degrees (Right) Horizontal Viewing Angle,USB-C with Power Delivery Supported,Maximum Power Delivery (W),Tiled Display System,Maximum Tiled Configuration,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets Most Efficient 2023 Criteria
2348988,BenQ Corporation,BenQ,BL2581T,BL2581T-B,"BL2581TE,,",840046038441,Monitor,IPS LCD,1920  x 1200,2.3,24.9,281.15,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,DVI,Display,HDMI,USB",Ac to dc internal power supply,12.9,,0.2,,0.2,,,41,50.2,300,No,39.2,Adobe RGB,N/A,1000,,,No,0,No,0,01/28/2020 12:00:00 AM,10/24/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_BL2581T-B_10242019102459I07_3606062,No
2357591,BenQ Corporation,BenQ,Interactive Flat Panel,CP6501K*,",,* means 0-9, A-Z or Blank",840046041533,Signage Display,TFT-LCD,3840 x 2160,8.3,64.5,1771.88,Other,Built-In Speakers,None,HDMI,USB,105.52,,0.27,,0,105.94,,,,350,No,,sRGB,DisplayHDR 400,8294400,,,No,,No,,03/13/2020 12:00:00 AM,03/13/2020 12:00:00 AM,United States,ES_1048959_CP6501K*_04022020141601_8354071,No
2357592,BenQ Corporation,BenQ,Interactive Flat Panel,CP6501K*,",,* means 0-9, A-Z or Blank",,Signage Display,TFT-LCD,3840 x 2160,8.3,64.5,1771.88,Other,Built-In Speakers,None,HDMI,USB,105.52,,0.27,,0,105.94,,,,350,No,,sRGB,DisplayHDR 400,8294400,,,No,,No,,03/13/2020 12:00:00 AM,03/13/2020 12:00:00 AM,United States,ES_1048959_CP6501K*_04022020141638_2685575,No
2357589,BenQ Corporation,BenQ,Interactive Flat Panel,CP8601K*,",,* means 0-9, A-Z or Blank",840046041540,Signage Display,TFT-LCD,3840 x 2160,8.3,85.3,3107.87,Other,Built-In Speakers,None,HDMI,USB,156.47,,0.37,,0,157.94,,,,350,Yes,,sRGB,DisplayHDR 400,8294400,,,No,,No,,03/13/2020 12:00:00 AM,03/13/2020 12:00:00 AM,United States,ES_1048959_CP8601K*_04022020141412_6881093,No
2357590,BenQ Corporation,BenQ,Interactive Flat Panel,CP8601K*,",,* means 0-9, A-Z or Blank",,Signage Display,TFT-LCD,3840 x 2160,8.3,85.3,3107.87,Other,Built-In Speakers,None,HDMI,USB,156.47,,0.37,,0,157.94,,,,350,Yes,,sRGB,DisplayHDR 400,8294400,,,No,,No,,03/13/2020 12:00:00 AM,03/13/2020 12:00:00 AM,United States,ES_1048959_CP8601K*_04022020141439_6231299,No
2365709,BenQ Corporation,BenQ,CS6501,CS6501,"CS65010, CS65011, CS65012, CS65013, CS65014, CS65015, CS65016, CS65017, CS65018,CS65010, CS65011, CS65012, CS65013, CS65014, CS65015, CS65016, CS65017, CS65018,",840046043728,Signage Display,TFT-LCD,3840 x 2160,8.3,64.5,1777.67,"Built-In Speakers,Other,User Adjustable Backlight",Built-In Speakers,None,"VGA,RS232,RJ45,Other,HDMI,USB",Ac to dc internal power supply,106.95,,0.21,0.5,0,,,,,450,No,,None,N/A,1200,,,No,,No,,09/30/2020 12:00:00 AM,09/10/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_CS6501_09142020122151_5733110,No
2365223,BenQ Corporation,BenQ,CS7501,CS7501,"CS75010, CS75011, CS75012, CS75013, CS75014, CS75015, CS75016, CS75017, CS75018,CS75010, CS75011, CS75012, CS75013, CS75014, CS75015, CS75016, CS75017, CS75018,",840046043735,Signage Display,TFT-LCD,3840 x 2160,8.3,75,2403.56,"Built-In Speakers,Other,User Adjustable Backlight",None,None,"VGA,RS232,RJ45,Other,Display,HDMI,USB",Ac to dc internal power supply,139.7,,0.22,0.5,0,,,,,450,No,,None,N/A,1200,,,No,,No,,07/20/2020 12:00:00 AM,08/28/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_CS7501_08282020153553_7464734,No
2364986,BenQ Corporation,BenQ,CS8601,CS8601,"CS86010, CS86011, CS86012, CS86013, CS86014, CS86015, CS86016, CS86017, CS86018,CS86010, CS86011, CS86012, CS86013, CS86014, CS86015, CS86016, CS86017, CS86018,",840046043766,Signage Display,TFT-LCD,3840 x 2160,8.3,85.6,3131.98,"Built-In Speakers,Other,User Adjustable Backlight",None,None,"VGA,RS232,RJ45,Other,Display,HDMI,USB",Ac to dc internal power supply,153.07,,0.2,0.5,0,,,,,500,No,,None,N/A,1200,,,No,,No,,09/30/2020 12:00:00 AM,08/19/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_CS8601_08252020112505_5817608,No
2349023,BenQ Corporation,BenQ,GL2480,GL2480-B,"GL2480E, BL2483, BL2483T, BL2483TE,,",840046041519;840046041526;840046041694,Monitor,TN LCD,1920  x 1080,2.1,24,246.17,Variable Refresh Rate,Automatic Brightness Control,None,"VGA,DVI,HDMI",Ac to dc internal power supply,11.1,,0.2,,0.1,,,35.3,46.1,250,No,33.1,sRGB,N/A,1000,,,No,0,No,0,01/28/2020 12:00:00 AM,10/28/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_GL2480-B_10282019152457I58_3606062,No
2355317,BenQ Corporation,BenQ,GL2480,GL2480-T,"BL2483,GL2480-T,; BL2483ME,GL2480-T,; BL2483TM,GL2480-T,; GL2480E,GL2480-T,",840046041519;840046041694;840046042165,Monitor,TN LCD,1080 x 1920,2.1,24,246.17,Built-In Speakers,Built-In Speakers,None,"VGA,DVI,Display",Ac to dc internal power supply,13.43,,0.22,,0.14,,,42.43,46.1,250,No,,None,N/A,1000,,,No,,,,11/04/2019 12:00:00 AM,02/28/2020 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_1048959_GL2840-T_02242020134129_6558038,No
